speed_mm_s,accel_mm_s2,current_ma,chop_mode,microsteps,test_condition_id,repeat_index,sg_enabled,sg_interval_ms,sglog_enabled
100,500,700,stealth,16,LOSS_700_SPD_100_ACC_500_STEALTH,1,1,20,0
100,500,700,stealth,16,LOSS_700_SPD_100_ACC_500_STEALTH,2,1,20,0
100,500,700,stealth,16,LOSS_700_SPD_100_ACC_500_STEALTH,3,1,20,0
100,500,700,stealth,16,LOSS_700_SPD_100_ACC_500_STEALTH,4,1,20,0
100,500,700,stealth,16,LOSS_700_SPD_100_ACC_500_STEALTH,5,1,20,0
100,500,700,spread,16,LOSS_700_SPD_100_ACC_500_SPREAD,1,1,20,0
100,500,700,spread,16,LOSS_700_SPD_100_ACC_500_SPREAD,2,1,20,0
100,500,700,spread,16,LOSS_700_SPD_100_ACC_500_SPREAD,3,1,20,0
100,500,700,spread,16,LOSS_700_SPD_100_ACC_500_SPREAD,4,1,20,0
100,500,700,spread,16,LOSS_700_SPD_100_ACC_500_SPREAD,5,1,20,0
100,500,1000,stealth,16,LOSS_100_SPD_100_ACC_500_STEALTH,1,1,20,0
100,500,1000,stealth,16,LOSS_100_SPD_100_ACC_500_STEALTH,2,1,20,0
100,500,1000,stealth,16,LOSS_100_SPD_100_ACC_500_STEALTH,3,1,20,0
100,500,1000,stealth,16,LOSS_100_SPD_100_ACC_500_STEALTH,4,1,20,0
100,500,1000,stealth,16,LOSS_100_SPD_100_ACC_500_STEALTH,5,1,20,0
100,500,1000,spread,16,LOSS_100_SPD_100_ACC_500_SPREAD,1,1,20,0
100,500,1000,spread,16,LOSS_100_SPD_100_ACC_500_SPREAD,2,1,20,0
100,500,1000,spread,16,LOSS_100_SPD_100_ACC_500_SPREAD,3,1,20,0
100,500,1000,spread,16,LOSS_100_SPD_100_ACC_500_SPREAD,4,1,20,0
100,500,1000,spread,16,LOSS_100_SPD_100_ACC_500_SPREAD,5,1,20,0
100,500,1400,stealth,16,LOSS_1400_SPD_100_ACC_500_STEALTH,1,1,20,0
100,500,1400,stealth,16,LOSS_1400_SPD_100_ACC_500_STEALTH,2,1,20,0
100,500,1400,stealth,16,LOSS_1400_SPD_100_ACC_500_STEALTH,3,1,20,0
100,500,1400,stealth,16,LOSS_1400_SPD_100_ACC_500_STEALTH,4,1,20,0
100,500,1400,stealth,16,LOSS_1400_SPD_100_ACC_500_STEALTH,5,1,20,0
100,500,1400,spread,16,LOSS_1400_SPD_100_ACC_500_SPREAD,1,1,20,0
100,500,1400,spread,16,LOSS_1400_SPD_100_ACC_500_SPREAD,2,1,20,0
100,500,1400,spread,16,LOSS_1400_SPD_100_ACC_500_SPREAD,3,1,20,0
100,500,1400,spread,16,LOSS_1400_SPD_100_ACC_500_SPREAD,4,1,20,0
100,500,1400,spread,16,LOSS_1400_SPD_100_ACC_500_SPREAD,5,1,20,0
150,100,700,stealth,16,LOSS_700_SPD_150_ACC_100_STEALTH,1,1,20,0
150,100,700,stealth,16,LOSS_700_SPD_150_ACC_100_STEALTH,2,1,20,0
150,100,700,stealth,16,LOSS_700_SPD_150_ACC_100_STEALTH,3,1,20,0
150,100,700,stealth,16,LOSS_700_SPD_150_ACC_100_STEALTH,4,1,20,0
150,100,700,stealth,16,LOSS_700_SPD_150_ACC_100_STEALTH,5,1,20,0
150,100,700,spread,16,LOSS_700_SPD_150_ACC_100_SPREAD,1,1,20,0
150,100,700,spread,16,LOSS_700_SPD_150_ACC_100_SPREAD,2,1,20,0
150,100,700,spread,16,LOSS_700_SPD_150_ACC_100_SPREAD,3,1,20,0
150,100,700,spread,16,LOSS_700_SPD_150_ACC_100_SPREAD,4,1,20,0
150,100,700,spread,16,LOSS_700_SPD_150_ACC_100_SPREAD,5,1,20,0
150,100,1000,stealth,16,LOSS_100_SPD_150_ACC_100_STEALTH,1,1,20,0
150,100,1000,stealth,16,LOSS_100_SPD_150_ACC_100_STEALTH,2,1,20,0
150,100,1000,stealth,16,LOSS_100_SPD_150_ACC_100_STEALTH,3,1,20,0
150,100,1000,stealth,16,LOSS_100_SPD_150_ACC_100_STEALTH,4,1,20,0
150,100,1000,stealth,16,LOSS_100_SPD_150_ACC_100_STEALTH,5,1,20,0
150,100,1000,spread,16,LOSS_100_SPD_150_ACC_100_SPREAD,1,1,20,0
150,100,1000,spread,16,LOSS_100_SPD_150_ACC_100_SPREAD,2,1,20,0
150,100,1000,spread,16,LOSS_100_SPD_150_ACC_100_SPREAD,3,1,20,0
150,100,1000,spread,16,LOSS_100_SPD_150_ACC_100_SPREAD,4,1,20,0
150,100,1000,spread,16,LOSS_100_SPD_150_ACC_100_SPREAD,5,1,20,0
150,100,1400,stealth,16,LOSS_1400_SPD_150_ACC_100_STEALTH,1,1,20,0
150,100,1400,stealth,16,LOSS_1400_SPD_150_ACC_100_STEALTH,2,1,20,0
150,100,1400,stealth,16,LOSS_1400_SPD_150_ACC_100_STEALTH,3,1,20,0
150,100,1400,stealth,16,LOSS_1400_SPD_150_ACC_100_STEALTH,4,1,20,0
150,100,1400,stealth,16,LOSS_1400_SPD_150_ACC_100_STEALTH,5,1,20,0
150,100,1400,spread,16,LOSS_1400_SPD_150_ACC_100_SPREAD,1,1,20,0
150,100,1400,spread,16,LOSS_1400_SPD_150_ACC_100_SPREAD,2,1,20,0
150,100,1400,spread,16,LOSS_1400_SPD_150_ACC_100_SPREAD,3,1,20,0
150,100,1400,spread,16,LOSS_1400_SPD_150_ACC_100_SPREAD,4,1,20,0
150,100,1400,spread,16,LOSS_1400_SPD_150_ACC_100_SPREAD,5,1,20,0
150,300,700,stealth,16,LOSS_700_SPD_150_ACC_300_STEALTH,1,1,20,0
150,300,700,stealth,16,LOSS_700_SPD_150_ACC_300_STEALTH,2,1,20,0
150,300,700,stealth,16,LOSS_700_SPD_150_ACC_300_STEALTH,3,1,20,0
150,300,700,stealth,16,LOSS_700_SPD_150_ACC_300_STEALTH,4,1,20,0
150,300,700,stealth,16,LOSS_700_SPD_150_ACC_300_STEALTH,5,1,20,0
150,300,700,spread,16,LOSS_700_SPD_150_ACC_300_SPREAD,1,1,20,0
150,300,700,spread,16,LOSS_700_SPD_150_ACC_300_SPREAD,2,1,20,0
150,300,700,spread,16,LOSS_700_SPD_150_ACC_300_SPREAD,3,1,20,0
150,300,700,spread,16,LOSS_700_SPD_150_ACC_300_SPREAD,4,1,20,0
150,300,700,spread,16,LOSS_700_SPD_150_ACC_300_SPREAD,5,1,20,0
150,300,1000,stealth,16,LOSS_100_SPD_150_ACC_300_STEALTH,1,1,20,0
150,300,1000,stealth,16,LOSS_100_SPD_150_ACC_300_STEALTH,2,1,20,0
150,300,1000,stealth,16,LOSS_100_SPD_150_ACC_300_STEALTH,3,1,20,0
150,300,1000,stealth,16,LOSS_100_SPD_150_ACC_300_STEALTH,4,1,20,0
150,300,1000,stealth,16,LOSS_100_SPD_150_ACC_300_STEALTH,5,1,20,0
150,300,1000,spread,16,LOSS_100_SPD_150_ACC_300_SPREAD,1,1,20,0
150,300,1000,spread,16,LOSS_100_SPD_150_ACC_300_SPREAD,2,1,20,0
150,300,1000,spread,16,LOSS_100_SPD_150_ACC_300_SPREAD,3,1,20,0
150,300,1000,spread,16,LOSS_100_SPD_150_ACC_300_SPREAD,4,1,20,0
150,300,1000,spread,16,LOSS_100_SPD_150_ACC_300_SPREAD,5,1,20,0
150,300,1400,stealth,16,LOSS_1400_SPD_150_ACC_300_STEALTH,1,1,20,0
150,300,1400,stealth,16,LOSS_1400_SPD_150_ACC_300_STEALTH,2,1,20,0
150,300,1400,stealth,16,LOSS_1400_SPD_150_ACC_300_STEALTH,3,1,20,0
150,300,1400,stealth,16,LOSS_1400_SPD_150_ACC_300_STEALTH,4,1,20,0
150,300,1400,stealth,16,LOSS_1400_SPD_150_ACC_300_STEALTH,5,1,20,0
150,300,1400,spread,16,LOSS_1400_SPD_150_ACC_300_SPREAD,1,1,20,0
150,300,1400,spread,16,LOSS_1400_SPD_150_ACC_300_SPREAD,2,1,20,0
150,300,1400,spread,16,LOSS_1400_SPD_150_ACC_300_SPREAD,3,1,20,0
150,300,1400,spread,16,LOSS_1400_SPD_150_ACC_300_SPREAD,4,1,20,0
150,300,1400,spread,16,LOSS_1400_SPD_150_ACC_300_SPREAD,5,1,20,0
150,500,700,stealth,16,LOSS_700_SPD_150_ACC_500_STEALTH,1,1,20,0
150,500,700,stealth,16,LOSS_700_SPD_150_ACC_500_STEALTH,2,1,20,0
150,500,700,stealth,16,LOSS_700_SPD_150_ACC_500_STEALTH,3,1,20,0
150,500,700,stealth,16,LOSS_700_SPD_150_ACC_500_STEALTH,4,1,20,0
150,500,700,stealth,16,LOSS_700_SPD_150_ACC_500_STEALTH,5,1,20,0
150,500,700,spread,16,LOSS_700_SPD_150_ACC_500_SPREAD,1,1,20,0
150,500,700,spread,16,LOSS_700_SPD_150_ACC_500_SPREAD,2,1,20,0
150,500,700,spread,16,LOSS_700_SPD_150_ACC_500_SPREAD,3,1,20,0
150,500,700,spread,16,LOSS_700_SPD_150_ACC_500_SPREAD,4,1,20,0
150,500,700,spread,16,LOSS_700_SPD_150_ACC_500_SPREAD,5,1,20,0
150,500,1000,stealth,16,LOSS_100_SPD_150_ACC_500_STEALTH,1,1,20,0
150,500,1000,stealth,16,LOSS_100_SPD_150_ACC_500_STEALTH,2,1,20,0
150,500,1000,stealth,16,LOSS_100_SPD_150_ACC_500_STEALTH,3,1,20,0
150,500,1000,stealth,16,LOSS_100_SPD_150_ACC_500_STEALTH,4,1,20,0
150,500,1000,stealth,16,LOSS_100_SPD_150_ACC_500_STEALTH,5,1,20,0
